,Station,LONGITUDE,LATITUDE,Depth,Protocol Label,Fraction,RUN,Region,ENA-SAMPLE,genome_name,genome_group,variable,val
47052,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.192639978115
47065,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,0.802264040904
47090,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,1.17654690768
47094,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,1.32528391887
47099,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.0977951029457
47128,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,0.371551916618
47164,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.106992589505
47182,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,0.159200326536
47190,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.0956516683984
47200,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,0.384729355911
47202,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.0995377943638
47207,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,1.45109163255
47220,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,1.87124465349
47222,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,2.86648489604
47229,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.096697706885
47258,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.114393796594
47261,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,0.132491534531
47286,TARA_109,,,380.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598971,SPO,ERS492205,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.391931512165
47296,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,15.4239416719
47309,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.0631856163589
47312,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,3.29150237464
47316,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.0588395422436
47327,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,1.557535294
47328,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.108864016173
47342,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.111878066044
47353,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.0631962813599
47392,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.357815213746
47401,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,15.7903655899
47415,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,51.2785751923
47420,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,2.56745495964
47433,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,3.76229182401
47436,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,1.48263339016
47458,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.0949019798379
47473,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,3.3311168846
47483,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.394822702909
47503,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,6.55887279918
47505,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,2.22617223321
47520,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,4.42660572159
47521,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,6.37833084764
47527,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,1.67957615072
47538,TARA_064,,,65.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598972,IO,ERS490002,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,6.19074105885
47547,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,4.34245985685
47573,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,0.0167309819201
47583,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.0114536498524
47584,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,0.091014055882
47590,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.0189128041424
47595,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.0125625389722
47605,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,4.85625144816
47624,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.0219025704047
47634,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,2.5416810701
47646,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,10.8635205499
47649,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.0193441071744
47666,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,38.2280084663
47684,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.177715633635
47702,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.0268700165137
47717,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,2.13680572586
47722,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.788188113007
47724,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,0.590576810901
47728,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,8.13959836142
47743,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.437461576813
47748,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,40.2886195999
47755,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.0298406786443
47756,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,0.139307452117
47770,TARA_066,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598973,SAO,ERS490124,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,2.59636772752
47820,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.127560464457
47823,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.130504039013
47829,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,3.52638332031
47832,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.113092926798
47843,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.158535095094
47858,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.240375248681
47862,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,60.1062054407
47883,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.131130423238
47893,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.144505120111
47894,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,7.07721324047
47906,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.0951511378921
47910,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,13.9352192976
47934,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,0.125026141806
47939,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,0.335800519835
47951,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,0.498776927305
47969,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,6.26547446779
47973,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.268623426359
47974,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.413587840712
47985,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.157634390932
47997,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,27.5846424177
48004,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,0.105061711516
48014,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,2.15694219101
48017,TARA_036,,,17.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598974,IO,ERS488747,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,28.3576505111
48085,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.0591195564905
48093,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,2.08474905956
48106,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.235339650529
48119,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.0601676197855
48121,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,0.0609662716241
48128,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.375998964863
48131,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,3.44233560666
48145,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,1.34020512721
48170,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.0632080027484
48177,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.114542822693
48182,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.488798328398
48186,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,0.0706729574489
48193,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,1.21879271432
48215,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.0610439933858
48221,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,0.202272781975
48242,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,1.88241371709
48250,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,0.230844124352
48252,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,8.16282191048
48255,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,3.30204875438
48270,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.319024660924
48273,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,1.69805182928
48284,TARA_034,,,60.0,BACT_NUC-DNA(100L)_W0.22-1.6,BACT,ERR598975,RS,ERS488685,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,0.14807414524
